epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,2493.88,1.6532,1.83171,2.2686,0.69849,0.59104,0.64715,0.34582,1.58658,1.61744,2.31367,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,2575.96,1.59644,1.98935,2.31817,0.61968,0.53641,0.59589,0.32312,1.57629,1.70043,2.28099,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,2640.77,1.57012,1.87353,2.2926,0.68965,0.58333,0.65597,0.35993,1.54936,1.59534,2.24996,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,2725.4,1.56694,1.79741,2.28757,0.69387,0.59999,0.66576,0.36696,1.55207,1.57782,2.25283,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,2808.77,1.5633,1.78398,2.2809,0.71291,0.6069,0.68055,0.37548,1.53448,1.53035,2.23361,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,2892.37,1.56612,1.77912,2.28264,0.73795,0.60014,0.68572,0.37563,1.53317,1.5433,2.22451,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,2976.33,1.56327,1.77108,2.25562,0.72748,0.60714,0.68104,0.38203,1.51308,1.53336,2.20973,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,3028.53,1.53805,1.73422,2.23751,0.72538,0.60504,0.68568,0.38482,1.51382,1.51905,2.20451,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,3060.72,1.53096,1.72698,2.22945,0.73008,0.60014,0.68991,0.38891,1.50614,1.51125,2.19971,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,3092,1.53561,1.73149,2.24347,0.73513,0.60641,0.68902,0.39049,1.50249,1.5066,2.19788,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,3123.57,1.50631,1.72119,2.21662,0.73092,0.62582,0.69893,0.39664,1.49511,1.49039,2.18251,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
