epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,4543.92,1.44708,1.52177,2.04687,0.78347,0.71639,0.78558,0.47218,1.33152,1.24916,2.03852,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
41,4658.1,1.45485,1.54243,2.03301,0.79554,0.70448,0.78383,0.47609,1.32788,1.24576,2.04392,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
42,4772.01,1.42217,1.50981,2.04074,0.79995,0.71359,0.79485,0.488,1.30776,1.25584,2.00024,0.0027528,0.0009176,0.0027528,0.0009176,0.0027528,0.0009176,0.0027528,0.0009176
43,4886.89,1.43291,1.46652,2.04063,0.79262,0.71289,0.79346,0.48514,1.32754,1.22922,2.03335,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
44,5001.41,1.39997,1.4641,2.01103,0.81652,0.72339,0.80872,0.5051,1.28959,1.19196,1.99395,0.0025944,0.0008648,0.0025944,0.0008648,0.0025944,0.0008648,0.0025944,0.0008648
45,5116.66,1.39096,1.46844,2.00662,0.78649,0.7416,0.80659,0.48966,1.29746,1.23893,1.98523,0.0025152,0.0008384,0.0025152,0.0008384,0.0025152,0.0008384,0.0025152,0.0008384
46,5231.59,1.39802,1.45353,1.99532,0.78877,0.71127,0.79233,0.49685,1.29336,1.19955,1.98816,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
47,5345.97,1.38001,1.43949,1.98543,0.79124,0.72059,0.79392,0.49545,1.28839,1.19716,1.98228,0.0023568,0.0007856,0.0023568,0.0007856,0.0023568,0.0007856,0.0023568,0.0007856
48,5460.03,1.37319,1.42757,1.98767,0.80755,0.7437,0.82069,0.51766,1.25591,1.13133,1.94958,0.0022776,0.0007592,0.0022776,0.0007592,0.0022776,0.0007592,0.0022776,0.0007592
49,5576.02,1.39775,1.39899,2.01023,0.8315,0.71849,0.81969,0.52213,1.24752,1.13586,1.93939,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
50,5691.24,1.3591,1.38743,1.98441,0.80766,0.73459,0.82191,0.53053,1.2314,1.12099,1.91475,0.0021192,0.0007064,0.0021192,0.0007064,0.0021192,0.0007064,0.0021192,0.0007064
51,5806.41,1.35417,1.37564,1.95979,0.81856,0.76471,0.83817,0.54182,1.22367,1.09473,1.89794,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
52,5920.5,1.35329,1.39468,1.96186,0.81284,0.7591,0.83605,0.54134,1.19784,1.0836,1.87607,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
